trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.5, 'e': 0.1}",20,0,-12.75702172713136,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.1}",20,11,17.65704467607269,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.1}",25,10,-83.9818694219652,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
150,False,"{'a': 0.5, 'e': 0.1}",30,7,37.17576939364122,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.1}",20,0,-12.858983960736886,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.1}",20,7,3.706632173287029,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.1}",20,3,14.249863002400478,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.1}",25,8,2.0478288118382735,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.1}",25,13,-0.458837140528743,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.1}",20,10,10.392673105488528,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.1}",20,0,15.62096618219986,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.1}",25,8,29.259633208578197,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.1}",20,13,14.781195685540634,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1}",20,0,19.945930290212495,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.1}",20,0,19.467745673080643,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.1}",30,0,-4.608745222129551,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.1}",25,0,18.049453816880657,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.1}",25,8,27.69796644789721,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1}",20,0,22.588677264553993,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.1}",30,19,-27.816762033686015,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1}",20,0,10.532114578721503,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1}",25,0,-16.54507215508134,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.1}",25,7,-19.71957176248021,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.1}",35,0,46.760580253400946,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.1}",25,1,-30.472710804431625,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.1}",25,0,24.65696496793002,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.1}",25,0,-30.54308991103211,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.1}",25,0,26.455277558138526,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.1}",20,0,4.712385056603805,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.1}",20,0,-1.1297858597221773,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.1}",20,0,18.369987637914576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.1}",25,0,29.744639757261996,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.1}",25,15,13.987273809617603,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.1}",20,0,24.67045377666148,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
