trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.5, 'e': 0.9277434863285531}",20,0,-21.59618686226186,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.923116346386636}",20,0,-49.4048154258012,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014576}",25,0,-105.21673199362367,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9139311852712284}",20,0,-51.28103334528828,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682316}",20,0,-59.353190863425915,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359599}",20,0,-79.21073102003604,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9003245225862659}",25,0,-52.13305765513566,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8958341352965286}",35,0,-119.19704147388481,"{0: 21, 1: 4, 2: 8, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8913661439068317}",35,0,-123.2219786846822,"{0: 21, 1: 6, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8869204367171578}",25,0,-121.84457884028114,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8824969025845957}",25,0,-54.78974450096209,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.8780954309205616}",25,11,-15.75289994051268,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.8737159116880348}",25,0,-103.1799461768215,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8693582353988062}",25,0,-127.46780713525429,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8650222931107416}",20,0,-104.89030782334162,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8607079764250581}",20,0,-110.84939923563951,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8564151774836138}",25,0,-129.84250095434479,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8521437889662117}",25,0,-58.492852861921165,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.8478937040879162}",35,0,-197.62842150910365,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.843664816596384}",20,0,-143.7854026703083,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.8394570207692077}",25,0,-88.43406381581312,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8352702114112723}",30,0,-95.26811717015873,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.831104283852126}",20,8,-62.47105274814849,"{0: 5, 1: 2, 2: 4, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.8269591339433626}",30,0,-161.04014822727413,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.8228346580560187}",25,1,-156.60309947759575,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 3}",1
40,False,"{'a': 0.5, 'e': 0.8187307530779823}",25,0,-76.84552264068218,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.814647316411415}",20,0,-89.51774956571674,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.8105842459701875}",25,0,-71.8557173539812,"{0: 17, 1: 6, 2: 0, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.8065414401773273}",25,0,-89.62442211245283,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8025187979624789}",25,0,-138.05658670517317,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.7985162187593775}",20,0,-30.046649910508563,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7945336025033345}",25,5,-68.00419909858346,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.790570849628736}",25,0,-140.18627593568803,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7866278610665539}",25,0,-49.52466994906151,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7827045382418687}",35,0,-147.43373115430958,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7788007830714054}",30,0,-116.49666973539534,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7749164979610815}",35,0,-96.55400242553121,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7710515858035669}",25,8,-45.443442851269424,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.7672059499758563}",30,0,-104.90458975157104,"{0: 17, 1: 8, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7633794943368538}",20,0,-131.71714952431972,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.7595721232249691}",35,0,-177.08357452600964,"{0: 19, 1: 6, 2: 7, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7557837414557261}",20,0,-100.75109763970772,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.7520142543193833}",20,9,-103.0972334925634,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.7482635675785658}",20,0,-99.60577297157275,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
